SRX4901492,494,74
SRX4901493,510,75
SRX4901494,480,71
SRX4901495,496,72
SRX4901496,534,73
SRX4901497,483,73
SRX4901498,517,71
SRX4901499,496,73
SRX4901500,520,78
SRX4901501,524,74
SRX4901502,522,71
SRX4901503,499,74
SRX4901504,511,73
SRX4901505,541,74
SRX4901506,520,74
SRX4901507,520,74
SRX4901508,502,74
SRX4901509,500,72
SRX4901510,491,74
SRX4901511,500,72
SRX4901512,492,71
SRX4901513,497,74
SRX4901514,504,75
SRX4901515,518,72
SRX4901516,528,74
SRX4901517,531,72
SRX4901518,514,74
SRX4901519,516,72
SRX4901520,509,73
SRX4901521,495,70
SRX4901522,526,71
SRX4901523,504,75
SRX4901524,512,73
SRX4901525,514,73
SRX4901526,511,76
SRX4901527,508,76
SRX4901528,518,73
SRX4901529,513,73
SRX4901530,528,75
SRX4901531,525,71
SRX4901532,501,71
SRX4901533,547,75
SRX4901534,524,74
SRX4901535,517,75
SRX4901536,499,72
SRX4901537,523,74
SRX4901538,519,73
SRX4901539,510,71
SRX4901540,509,73
SRX4901541,520,73
SRX4901542,502,72
SRX4901543,499,73
SRX4901544,493,73
SRX4901545,508,73
SRX4901547,496,73
SRX4901548,517,71
SRX4901549,489,72
SRX4901550,499,74
SRX4901551,508,77
SRX5399999,126,21
SRX5400000,128,21
SRX5400001,122,21
SRX5400002,117,21
SRX5400003,121,21
SRX5400004,117,21
SRX5400006,122,23
SRX5400007,121,21
SRX5400008,132,21
SRX5400009,133,25
SRX5400010,123,20
SRX5400011,123,21
SRX5400012,182,29
SRX5400013,176,27
SRX5400014,129,23
SRX5400015,177,37
SRX5400016,121,21
SRX5400017,119,21
SRX5400018,122,21
SRX5400019,117,21
SRX5400020,119,21
SRX5400021,124,21
SRX5400022,120,21
SRX5400023,117,20
SRX5400024,118,20
SRX5400025,122,21
SRX5400028,133,22
SRX5400029,151,26
SRX5400030,141,22
SRX5400031,131,23
SRX5400032,132,25
SRX5400033,140,27
SRX5400034,124,20
SRX5400036,127,25
SRX5400038,145,24
SRX5400039,117,20
SRX5400040,128,21
SRX5400041,133,20
SRX5400042,135,20
SRX5400043,137,22
SRX5400044,139,24
SRX5400045,133,22
SRX5400046,138,25
SRX5400047,130,21
SRX5400048,122,23
SRX5400050,124,22
SRX5400051,116,21
SRX5400052,120,21
SRX5400053,135,23
SRX5400054,128,23
SRX5400055,130,23
SRX5400056,134,23
SRX5400057,131,23
SRX5400059,134,21
SRX5400063,144,26
SRX5400068,201,29
SRX5400069,124,20
SRX5400070,117,24
SRX5400071,129,23
SRX5400072,129,23
SRX5400075,161,34
SRX5400077,165,29
SRX5400078,155,21
SRX5400079,151,30
SRX5400080,135,22
SRX5400082,122,26
SRX5400083,148,24
SRX5400084,147,24
SRX5400087,121,20
SRX5400089,114,20
SRX5400090,119,20
SRX5400091,113,21
SRX5400092,113,21
SRX5400093,140,29
SRX5400094,130,23
SRX5400095,121,21
SRX5400096,115,21
SRX5400097,124,22
SRX5400098,131,21
SRX5400099,124,21
SRX5400100,121,20
SRX5400101,116,22
SRX5400102,119,22
SRX5400104,122,20
SRX5400105,116,20
SRX5400106,122,20
SRX5400107,115,21
SRX5400109,139,21
SRX5400111,136,24
SRX5400112,137,22
SRX5400113,146,22
SRX5400114,153,29
SRX5400115,155,22
SRX5400119,140,28
SRX5400120,150,25
SRX5400121,177,36
SRX5400122,120,23
SRX5400123,133,22
SRX5400124,127,22
SRX5400125,150,26
SRX5400126,128,21
SRX5400128,127,33
SRX5400129,137,23
SRX5400130,125,20
SRX5400131,120,21
SRX5400133,134,22
SRX5400134,117,22
SRX5400135,144,24
SRX5400136,127,21
SRX5400137,126,21
SRX5400138,123,21
SRX5400139,120,21
SRX5400140,135,22
SRX5400141,124,20
SRX5400142,123,20
SRX5400145,123,21
SRX5400146,125,20
SRX5400147,121,20
SRX5400153,121,20
SRX5400154,118,20
SRX5400155,116,20
SRX5400156,119,20
SRX5400157,123,21
SRX5400158,123,20
SRX5400159,124,20
SRX5400160,122,21
SRX5400161,122,20
SRX5400162,119,20
SRX5400167,119,20
SRX5400169,127,20
SRX5400170,135,21
SRX5400171,124,20
SRX5400172,119,21
SRX5400174,122,22
SRX5400175,129,22
SRX5400176,123,21
SRX5400177,118,22
SRX5400178,122,22
SRX5400179,120,21
SRX5400180,164,25
SRX5400181,133,26
SRX5400182,133,21
SRX5400183,120,21
SRX5400184,119,21
SRX5400185,132,21
SRX5400186,139,22
SRX5400187,123,22
SRX5400188,119,20
SRX5400189,124,21
SRX5400190,118,21
SRX5400191,122,23
SRX5400192,116,22
SRX5400193,156,30
SRX5400194,143,29
SRX5400196,133,22
SRX5400197,149,33
SRX5400199,137,22
SRX5400201,133,22
SRX5400202,131,20
SRX5400204,145,38
SRX5400206,128,27
SRX5400207,142,23
SRX5400209,148,26
SRX5400210,121,23
SRX5400211,116,21
SRX5400212,114,23
SRX5400213,119,23
SRX5400215,125,21
SRX5400216,126,20
SRX5400217,124,21
SRX5400218,175,32
SRX5400219,160,31
SRX5400220,140,26
SRX5400221,160,23
SRX5400222,127,22
SRX5400223,117,20
SRX5400224,121,23
SRX5400225,179,27
SRX5400227,122,22
SRX5400228,120,22
SRX5400229,119,21
SRX5400230,119,21
SRX5400232,127,21
SRX5400233,121,21
SRX5400234,116,21
